doi,citation_key,evidence
10.1038/s41579-020-00458-8,lewis2021,"As the majority of archaeal and bacterial diversity remains uncultured and poorly characterized, culturing is a priority. The growing interest in and need for efficient cultivation strategies has led to many rapid methodological and technological advances."
10.1111/1751-7915.70004,sipkema2024,"With big sequence data as foundation, artificial intelligence (AI) may be a game changer in bacterial isolation efforts and provide directions for the cultivation media and conditions that are most promising. Currently, AI is implemented only to a limited extent in bacterial isolation, though AI algorithms have been developed to automatically identify the appearance of bacterial colonies and enumerate them."
10.1093/nsr/nwaa280,jiao2021,"More than 99% of bacterial and archaeal species have not been obtained in pure culture and this is so-called Microbial Dark Matter (MDM): the enormous diversity of yet-uncultivated microbes that microbiologists can only study by using cultivation-independent techniques."
10.1093/jimb/kuae010,gao2024doe,"DOE requires fewer experiments, lesser time, and lesser material to obtain the same amount of information compared to the traditional one-factor-at-a-time (OFAT) approach."
10.1038/s41467-025-61113-5,joseph2024bayesian,"A Bayesian Optimization-based iterative framework for experimental design was applied to accelerate cell culture media development. Improved outcomes were identified using 3–30 times fewer experiments than that estimated for other methods such as the standard Design of Experiments."
10.3389/fbioe.2024.1379707,fu2024doe,"A design of experiments approach with a factor screening using a two-level-factorial design, followed by a central composite design was employed for microbial media optimization. D-optimal designs are computer-generated designs, tailor-made for a specific problem."
10.1101/2025.02.24.639989,price2025kgmicrobe,"KG-Microbe is a standardized and interoperable framework that integrates microbial organismal and genomic traits, represented ontologically, for biomedical, environmental, and other applications. Evaluations of the KG-Microbe knowledge graphs through a series of competency questions demonstrate the accuracy and effectiveness of the data harmonization."
10.1101/2024.10.10.617697,goetz2024,"MicrobiomeKG is an integratively analyzable knowledge graph for microbiome research that bridges various taxa and microbial pathways with host health, built from algorithmically generated knowledge assertions from supplementary tables and deployed to Translator."
10.1093/nar/gkv1031,hastings2016,"ChEBI is the foremost chemical ontology in use for life science applications and for annotating FAIR data for data exchange and integration on the Semantic Web. ChEBI incorporates an ontological classification, whereby the relationships between chemical entities or classes of entities and their parents and/or children are defined."
10.1093/nar/gkae1115,parks2024,"The Genome Taxonomy Database (GTDB) provides a phylogenetically consistent, genome-based taxonomy spanning 715,230 bacterial and 17,245 archaeal genomes in Release 10, serving as a foundational resource for microbial classification."
10.1093/nar/gkaa970,seif2020modelseed,"ModelSEED includes 33,978 compounds and 36,645 reactions, available as a set of extensible files on GitHub. Thermodynamic properties and pH-based molecular ion charges are computed consistently for compounds in the database."
10.1038/nbt.1614,orth2010,"Flux balance analysis (FBA) simulates steady-state metabolic fluxes using genome-scale reconstructions and stoichiometric constraints, enabling rapid prediction of growth requirements without extensive kinetic parameters."
10.1073/pnas.1910499117,seif2020,"AuxoFind demonstrates systematic prediction of metabolic dependencies in over 1,300 Gram-negative bacterial strains using genome-scale metabolic models."
10.1038/s41598-025-25919-z,majumdar2025,"BioAgents demonstrates the use of specialized agents for bioinformatics pipeline development, employing one agent fine-tuned on tool documentation and another using retrieval-augmented generation (RAG) for workflow optimization."
10.1002/adma.202413523,ghafarollahi2024,"SciAgents extends multi-agent reasoning to scientific discovery through graph-based knowledge integration, combining large language models with ontological knowledge graphs to reveal hidden interdisciplinary relationships."
10.1038/s41467-025-55987-8,greenman2024activelearning,"Active Learning-assisted Directed Evolution (ALDE) is an iterative machine learning-assisted workflow that leverages uncertainty quantification to explore the search space of proteins more efficiently than current directed evolution methods."
10.1021/acssynbio.4c00298,bultelle2024autobiotech,"AutoBioTech is a fully automated laboratory system with 14 devices to perform operations for strain construction without human interaction. The platform enables automated transformations of E. coli with modular cloning, includes CRISPR/Cas9 genome editing."
10.1093/femsyr/foag003,papanek2024automation,"The Hamilton Microlab VANTAGE enabled automated steps that increased throughput to 2,000 transformations per week in yeast strain construction workflows."
10.3390/e26100856,yang2024,"MaxPro designs enable space-filling experimental designs with optimal projection properties, particularly for experiments with branching and nested factors, with applications in characterizing optimal flux spaces in genome-scale metabolic reconstructions."
10.1038/s41467-025-63266-9,kasalicky2025,"High-throughput dilution-to-extinction cultivation using defined media that mimic natural conditions yielded 627 axenic strains from 14 Central European lakes, including 15 genera among the 30 most abundant freshwater bacteria."
10.3389/fmicb.2020.610001,henson2020culturing,"Complex carbon sources such as sediment DOM and bacterial cell lysate are much more effective than conventional simple carbon sources in encouraging the growth of diverse and distinct bacteria from groundwater."
10.1021/acssynbio.9b00220,delaney2019design,"Design and Control of Extrachromosomal Elements in Methylorubrum extorquens AM1 provides genetic tools for metabolic engineering and synthetic biology applications in this methylotrophic bacterium."
10.1038/sdata201618,wilkinson2016fair,"The FAIR Guiding Principles for scientific data management and stewardship were intended to provide guidelines to improve the Findability, Accessibility, Interoperability, and Reuse of digital assets."
10.1093/bib/bbaf286,sun2024advancingal,"AL-assisted DBTL cycles effectively balance the trade-off between exploration and exploitation by iteratively quantifying the uncertainty of unexplored genotypes and improving model performance with minimal experimentation."
arXiv:2402.07927,gao2023prompt,"Prompt engineering has emerged as an indispensable technique for extending the capabilities of large language models (LLMs) and vision-language models (VLMs). This approach leverages task-specific instructions, known as prompts, to enhance model efficacy without modifying the core model parameters."
10.1007/s11704-025-50058-z,song2025prompt,"A comprehensive taxonomy of prompt engineering techniques for large language models explores both foundational and advanced methodologies including techniques such as self-consistency, chain of thought, and generated knowledge."
